Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_nofs_75_50_5,-0.6407684512339574,0.1439,-19.350403677756294,0.5286,Weak model,True,75,50,5
xgb_nofs_50_50_10,-0.513899235010171,0.2649,16.855149474652414,0.5283,Weak model,True,50,50,10
xgb_nofs_50_50_5,-0.5370833619943719,0.243,-3.5940353684164883,0.8953,Weak model,True,50,50,5
xgb_nofs_50_8_50,-0.679385238223032,0.1203,41.31528834987704,0.0979,Weak model,True,50,8,50
xgb_nofs_50_8_20,-0.679385238223032,0.1203,41.31528834987704,0.0979,Weak model,True,50,8,20
rf_nofs_nogarch_5_20,-0.30544447952674214,0.5075,40.05145597013287,0.2295,Weak model,False,,5,20
rf_nofs_nogarch_5_10,-0.3308032141606819,0.475,41.72839431882817,0.2137,Weak model,False,,5,10
rf_nofs_nogarch_8_10,-0.28967481276303075,0.5277,19.045939766754515,0.5653,Weak model,False,,8,10
rf_nofs_nogarch_8_20,-0.28592312751033777,0.5338,20.919897012748677,0.526,Weak model,False,,8,20
rf_nofs_nogarch_5_5,-0.30019196927612357,0.5119,-7.592379059919848,0.8307,Weak model,False,,5,5
rf_nofs_nogarch_8_50,-0.28592312751033777,0.5338,20.919897012748677,0.526,Weak model,False,,8,50
rf_nofs_nogarch_3_5,-0.42509506348828685,0.3513,43.8177529299347,0.2039,Weak model,False,,3,5
rf_nofs_90_50_50,-0.20495591234092136,0.657,20.723897140848308,0.5096,Weak model,True,90,50,50
rf_nofs_90_50_20,-0.20495591234092136,0.657,20.723897140848308,0.5096,Weak model,True,90,50,20
