Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
Pure XGB with signal,0.13410110191558844,0.03048553571075674,0.22228418564930488,0.005626612556338302,-0.07494019165528054,-0.09948760501776477,0.18203202960620604,0.08002060661235269,-0.38097106484632326,103,37.40530303030303,7,10,0.012104486156651419,-0.009905173777483933,1.027030867432627,71.02272727272727,236,0.22348484848484848,-0.023905629796343343,-0.03339730629782472,7.898305084745763,49,2023-11-02 00:00:00,2023-12-21 00:00:00,0,2021-01-12 00:00:00,2021-01-12 00:00:00
Pure MLP + PCA with signal,0.18572470145629838,0.04149032782608231,0.21323971684436693,0.0556850548265642,-0.061725730964851455,-0.08200384434648478,0.25447115198185283,0.11480552742459114,-0.36139660482231406,219,34.84848484848485,8,10,0.01208533849031367,-0.00954698753206706,1.0398298204522423,66.76136363636364,225,0.21306818181818182,-0.022112645122241637,-0.03181306148211546,7.973214285714286,41,2024-03-27 00:00:00,2024-05-07 00:00:00,0,2021-02-25 00:00:00,2021-02-25 00:00:00
RF with signal and fs,0.5324379916647359,0.10723321051241208,0.17286344462449296,0.4227918392596703,0.032686557186697884,0.00872681219366167,0.6987942266567253,0.6037372770167504,-0.17761568581997123,211,26.704545454545453,9,7,0.011529019536761102,-0.0099448013505845,1.1511370468612092,50.56818181818182,67,0.0634469696969697,-0.018096004314778404,-0.02666270984407352,21.939393939393938,158,2023-04-13 00:00:00,2023-09-18 00:00:00,0,2021-03-24 00:00:00,2021-03-24 00:00:00
XGB with signal and fs,0.16800842191101073,0.037755543647441936,0.1914315175339205,0.04325384342293185,-0.04684750068459087,-0.06804968459216842,0.2390189786902558,0.12377890145705099,-0.3050240647073639,41,29.545454545454547,8,9,0.011762811031340172,-0.009524923975224508,1.044185913399768,55.68181818181818,190,0.17992424242424243,-0.019896991425729187,-0.029083425049987337,7.705263157894737,56,2023-04-18 00:00:00,2023-06-13 00:00:00,0,2021-01-12 00:00:00,2021-01-12 00:00:00
Pure RF with signal and fs,0.3348015495230121,0.0713441086025215,0.17672319821919322,0.22709314784803936,-0.0029796693128224527,-0.026690237645275006,0.457389871824797,0.3463666262001342,-0.20597858802163616,233,26.988636363636363,9,7,0.011542510647176566,-0.010206914645189137,1.0962341582607167,51.32575757575758,77,0.07291666666666667,-0.018722579120662657,-0.027509639859657972,19.236842105263158,116,2023-04-13 00:00:00,2023-08-07 00:00:00,0,2021-03-24 00:00:00,2021-03-24 00:00:00
Pure XGB with signal and fs,0.38564378118362663,0.08094406664753628,0.21158284962931836,0.23186295272754764,-0.019096703378053137,-0.045937168071814805,0.4888332162270291,0.24300818891015344,-0.3330919299903241,488,33.996212121212125,8,9,0.012281427906159378,-0.009342946825422901,1.0798862159045124,63.16287878787878,262,0.2481060606060606,-0.02136913775099555,-0.031907908123226816,6.083969465648855,56,2023-04-18 00:00:00,2023-06-13 00:00:00,0,2021-01-12 00:00:00,2021-01-12 00:00:00
MLP,0.30291386949249266,0.06518015458003701,0.20872778759638086,0.16463396717830037,-0.033744182047844684,-0.05734058605485626,0.40150238034476643,0.15769433597786187,-0.41333224922667744,111,35.984848484848484,9,10,0.011782466383875537,-0.010325328508845542,1.0628103251423784,68.56060606060606,134,0.1268939393939394,-0.021765980926856606,-0.03147043927060899,14.343283582089553,81,2021-09-17 00:00:00,2021-12-07 00:00:00,0,2020-12-24 00:00:00,2020-12-24 00:00:00
MLP with signal,0.24957357270660285,0.05460758766784002,0.21939204691173592,0.11117145540038502,-0.050379273054348306,-0.075911762827791,0.33576123859918755,0.15456483362750012,-0.353298912736152,139,40.05681818181818,9,8,0.011736795784786943,-0.010421675309203293,1.046986255355748,76.51515151515152,146,0.13825757575757575,-0.022901492858379297,-0.032563552104936964,14.67123287671233,127,2023-05-18 00:00:00,2023-09-22 00:00:00,0,2021-01-13 00:00:00,2021-01-13 00:00:00
Pure MLP,0.0929029782485955,0.02142615646351076,0.22493828076985903,-0.03369959293113561,-0.08503007197445489,-0.10943259810773298,0.12268291029315993,0.044814661376915574,-0.4781059547299751,229,38.92045454545455,9,10,0.011817073346405839,-0.010548627669442683,1.0186320924692605,73.48484848484848,180,0.17045454545454544,-0.024103328638567102,-0.034510028321018626,11.1,73,2024-03-08 00:00:00,2024-05-20 00:00:00,0,2020-12-24 00:00:00,2020-12-24 00:00:00
Pure MLP with signal,0.21249781930511458,0.047054581597741896,0.23378042399513,0.07358097835341124,-0.06949994634663947,-0.09536370990125109,0.2713591869151651,0.129136622309824,-0.3643782898769704,116,41.09848484848485,9,8,0.012160259432959647,-0.01066010492366425,1.037893307690361,78.125,178,0.16856060606060605,-0.024818200552971327,-0.034921453020273115,12.03370786516854,78,2023-05-18 00:00:00,2023-08-04 00:00:00,0,2021-01-13 00:00:00,2021-01-13 00:00:00
