Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
Pure XGB with signal,0.47653946502715794,0.09745829526572702,0.18983180297102548,0.33836686808351835,-0.024531662497944584,-0.019816308797086846,0.6611211979737592,0.26524557775719837,-0.3674266545357405,593,42.70833333333333,10,8,0.009696730218257815,-0.008281755047444541,1.097828237815952,76.42045454545455,252,0.23863636363636365,-0.020886837575908895,-0.029461026807645126,7.809523809523809,133,2024-02-02 00:00:00,2024-06-14 00:00:00,0,2020-11-13 00:00:00,2020-11-13 00:00:00
Pure MLP + PCA with signal,0.1443277403555312,0.032695443387162904,0.18163401833331336,0.01868600422193134,-0.07696644349476822,-0.07116148363722152,0.2218605445212585,0.08893156899250913,-0.3676472118682276,140,33.996212121212125,9,7,0.01061137923409958,-0.008294961189139392,1.0366883063562728,65.15151515151516,229,0.2168560606060606,-0.019021114692625178,-0.02890466170173735,7.342105263157895,36,2022-06-15 00:00:00,2022-07-21 00:00:00,0,2020-12-14 00:00:00,2020-12-14 00:00:00
RF with signal and fs,0.626471182526855,0.12308096443875738,0.18541965343381306,0.470942839206889,0.0010710960608739661,0.006499220922039806,0.8903768132419262,0.3378174597979507,-0.3643416314608853,496,46.496212121212125,11,6,0.009251375239809127,-0.009543558808110591,1.119923878460715,83.99621212121212,62,0.058712121212121215,-0.020513032392471254,-0.02749500816427986,39.70967741935484,216,2020-11-12 00:00:00,2021-06-16 00:00:00,0,2022-09-06 00:00:00,2022-09-06 00:00:00
XGB with signal and fs,0.10038135329040387,0.02308972617136673,0.1775309729394391,-0.0335357485137686,-0.08099710025586981,-0.07629770598201524,0.15615500866080703,0.05139861437917103,-0.44922857260377236,67,40.81439393939394,10,6,0.008926851584814342,-0.008911677502428718,1.025496132727738,73.48484848484848,156,0.14772727272727273,-0.019013721312080182,-0.028413789000778317,12.987179487179487,135,2024-01-31 00:00:00,2024-06-14 00:00:00,0,2021-03-29 00:00:00,2021-03-29 00:00:00
Pure RF with signal and fs,0.3715179949645997,0.07830413214327114,0.19589787079368096,0.23799901793765904,-0.048388380045737756,-0.04241326366329967,0.5395216435684211,0.16681588620677998,-0.4694045268938456,632,48.20075757575758,11,8,0.009424378794410323,-0.009826953189474602,1.0705002813643605,87.40530303030303,88,0.08333333333333333,-0.022173892174265363,-0.029208177699216024,28.863636363636363,168,2021-03-12 00:00:00,2021-08-27 00:00:00,0,2022-01-24 00:00:00,2022-01-24 00:00:00
Pure XGB with signal and fs,0.19814672028075986,0.044083762471160304,0.18794765136734656,0.07642988871912897,-0.07089359865412848,-0.06594955807604641,0.2997310215689154,0.09840288467110296,-0.4479925829258333,668,42.89772727272727,10,8,0.009412560572775862,-0.008506487450529522,1.044274042866454,77.36742424242425,236,0.22348484848484848,-0.02085669433776298,-0.029388335652140468,8.601694915254237,135,2024-01-31 00:00:00,2024-06-14 00:00:00,0,2021-03-08 00:00:00,2021-03-08 00:00:00
MLP,-0.12088341371704037,-0.030277541168523547,0.15661131360881106,-0.380170488625877,-0.11423343109354112,-0.11036208983809781,-0.21524326147849468,-0.07530598319085131,-0.40206023327243234,105,32.29166666666667,7,6,0.008811175767918476,-0.008423249171554369,0.9588830813491748,60.416666666666664,152,0.14393939393939395,-0.017510853829099317,-0.026130379341493152,10.75,114,2023-12-26 00:00:00,2024-04-18 00:00:00,0,2020-12-11 00:00:00,2020-12-11 00:00:00
MLP with signal,-0.1107525955908204,-0.027622412586114975,0.16489968240007144,-0.3445394005094768,-0.11850440437145948,-0.11328727752535905,-0.19020621672444737,-0.0691931873215999,-0.39920711352304106,44,32.765151515151516,9,8,0.00924460956697518,-0.008248792779067494,0.9646021511571222,62.02651515151515,188,0.17803030303030304,-0.017914491842332972,-0.027286744069767097,8.829787234042554,55,2024-01-09 00:00:00,2024-03-04 00:00:00,0,2021-07-12 00:00:00,2021-07-12 00:00:00
Pure MLP,-0.019148721945189906,-0.0046032711756978095,0.18448928665272257,-0.18104537284765498,-0.11184401715461101,-0.10706969973640479,-0.030268000050759886,-0.010602245697726909,-0.43417888124255954,70,38.16287878787879,7,7,0.00972389538760148,-0.008731849832602188,0.9950903713214208,71.49621212121212,200,0.1893939393939394,-0.020907244430247784,-0.030082053606077172,9.45,80,2023-12-26 00:00:00,2024-03-15 00:00:00,0,2020-12-11 00:00:00,2020-12-11 00:00:00
Pure MLP with signal,-0.20950875032562433,-0.0545587924669263,0.1871436204371813,-0.4536755014357556,-0.15880614458550113,-0.15349946785563406,-0.35448587979296026,-0.11159790179557402,-0.4888872603256247,140,36.17424242424242,9,8,0.01002210005749637,-0.00851895789038389,0.9421439131463051,69.6969696969697,248,0.23484848484848486,-0.0214038371503339,-0.03059544556181983,7.193548387096774,48,2021-03-03 00:00:00,2021-04-20 00:00:00,0,2021-07-12 00:00:00,2021-07-12 00:00:00
